"License Number","Municipality or First Nation","Store Name",Address,"Store Application Status",Website
CRSA1372057,BRAMPTON,"MOONWLKR CANNABIS","11685 MCVEAN DR UNIT 44","Authorized to Open",
CRSA1233480,NEPEAN,"Go Green Cannabis Co","3802-3812 GREENBANK RD UNIT 4","Authorized to Open",https://www.gogreencannabisco.com
CRSA1229680,YORK,"Matchbox Cannabis 605 Rogers","605 ROGERS RD UNIT D7B","Authorized to Open",
CRSA1207459,BRAMPTON,"Crown Leaf","75 CLARENCE ST","Authorized to Open",https://thecrownleaf.ca
CRSA1231376,TORONTO,MEXICANNABIS,"73 COXWELL AVE","Authorized to Open",
CRSA1373068,HUNTSVILLE,"Canna Cabana","17 HANES RD UNIT 1","Authorized to Open",https://cannacabana.com/
CRSA1230979,OTTAWA,"Cheech & Chung Cannabis","838 SOMERSET ST W SUITE 60","Authorized to Open",https://Www.cheechandchung.ca
CRSA1220848,SUDBURY,"True North Cannabis Co.","372 RIVERSIDE DR","Authorized to Open",https://www.tncc.ca/
CRSA1232524,"WASAGA BEACH","Holland Daze","1288 MOSLEY ST UNIT 5","Authorized to Open",https://shop.wb.hollanddaze.ca/stores/holland-daze-mosley
CRSA1372313,"NORTH YORK","CROWN LEAF","5455 STEELES AVE W SUITE 2","Authorized to Open",https://thecrownleaf.ca
CRSA1228982,ERIN,"Green Grove","2 THOMPSON CRES UNIT 6 SS 1","Authorized to Open",https://www.greengrove.ca
CRSA1374741,MATHESON,"Tanny Cannabis Oasis","362 MACDOUGALL ST UNIT B","Authorized to Open",
CRSA1373563,SCARBOROUGH,"Buds House","382 OLD KINGSTON RD","Authorized to Open",
CRSA1229265,OTTAWA,"Canna Cabana","1910 ST. LAURENT BLVD UNIT C003","Authorized to Open",https://cannacabana.com/
CRSA1373224,SHELBURNE,"Prism Cannabis","517 MAIN ST E UNIT 2","Authorized to Open",
CRSA1373269,TORONTO,"The Hunny Pot Cannabis Co.","198 QUEEN ST W UNIT 2","Authorized to Open",https://thehunnypot.com
CRSA1223939,SCARBOROUGH,"BREAKING BUD CANNABIS","685W MARKHAM RD","Authorized to Open",
CRSA1373466,PEMBROKE,"Paradise Cannabis","1200 PEMBROKE ST W UNIT 180","Authorized to Open",
CRSA1375459,LONDON,"RIGHTPUFF CANNABIS","1876 OXFORD ST W UNIT 2B","Authorized to Open",https://rightpuff.ca/
CRSA1373777,HAWKESBURY,"Aces Cannabis 389 Co.","389 COUNTY RD 17","Authorized to Open",https://www.acescannabis.ca
CRSA1200667,RUSSELL,"MARY J'S CANNABIS RUSSEL","191 CASTOR ST UNIT 1","Authorized to Open",https://www.maryjcannabis.ca/
CRSA1208064,"NIAGARA FALLS","Stok'd Cannabis","5736 STANLEY AVE","Authorized to Open",https://www.stokd.ca
CRSA1385183,"NORTH YORK","Value Buds","1852 AVENUE RD","Authorized to Open",https://www.valuebuds.com
CRSA1379645,DUNNVILLE,"The Cannabis Co.","211 NIAGARA ST UNIT 3","Authorized to Open",https://www.thecannabisco.org
CRSA1374011,TORONTO,"SHINYBUD CANNABIS CO. KING","7 KING ST E UNIT 5D","Authorized to Open",
CRSA1236369,OSHAWA,"BUDGET BUD OSHAWA","650 KING ST E UNIT 7","Authorized to Open",https://budget-bud.com/oshawa/
CRSA1236368,BRAMPTON,"SHINYBUD CANNABIS CO. SEACHART","23 SEACHART PL, UNIT #2","Authorized to Open",https://shinybud.com/brampton/
CRSA1236365,TILBURY,"SHINYBUD CANNABIS CO. TILBURY","5 PROSPECT ST.","Authorized to Open",https://shinybud.com/tilbury/
CRSA1236364,BOWMANVILLE,"SHINYBUD CANNABIS CO. 191 BOWMANVILLE","191 CHURCH ST, LOWER FLOOR","Authorized to Open",https://shinybud.com/bowmanville/
CRSA1236363,BLENHEIM,"SHINYBUD CANNABIS CO BLENHEIM","63B TALBOT ST W","Authorized to Open",https://shinybud.com/blenheim/
