Permit Number,StatusDesc,City,Operating Name,Street Address,Website,Last Updated
R1270-2027,Active,Shaunavon,Bake Shoppe - Shaunavon,6-910  3rd Ave W,www.thebakeshoppe.ca,2025-10-28
R1359-2028,Active,Choiceland,50 Shades of Green Cannabis Co. - Choiceland,305 Railway Ave E,N/A,2025-10-28
R1096-2028,Active,Yorkton,5 Buds Cannabis - Yorkton ,10A-230 Broadway St E,5buds.ca,2025-10-28
R1553-2028,Active,Weyburn,5 Buds Cannabis - Weyburn,120  Railway Ave.,www.5buds.ca,2025-10-28
R1040-2027,Active,Warman,5 Buds Cannabis - Warman ,19-810 Centennial Blvd,www.5buds.ca,2025-10-28
R1572-2028,Active,Regina,5 Buds Cannabis - Regina,3  1010 Pasqua St. N,5buds.ca,2025-10-28
R1178-2027,Active,Prince Albert,5 Buds Cannabis - Prince Albert,801 15th St E,www.5buds.ca,2025-10-28
R1058-2028,Active,North Battleford,5 Buds Cannabis - North Battleford,104 - 312 Territorial Dr,www.5buds.ca,2025-10-28
R1546-2028,Active,Nipawin,5 Buds Cannabis - Nipawin,"201 1st Ave. W, Unit 2",www.5buds.ca,2025-10-28
R1506-2027,Active,Meadow Lake,5 Buds Cannabis - Meadow Lake,"812B, Unit 4 9th St. W",www.5buds.ca,2025-10-28
R1384-2028,Active,La Ronge,5 Buds Cannabis - La Ronge,1220 La Ronge Ave,https://5buds.ca/,2025-10-28
R1207-2027,Active,Kindersley,5 Buds Cannabis - Kindersley,208 12th Ave E,www.5buds.ca,2025-10-28
R1430-2026,Active,Humboldt,5 Buds Cannabis - Humboldt,2416  Westwood Dr,www.5buds.ca,2025-10-28
