StoreName,City,Province,FullProvinceName,Address,PostalCode,Latitude,Longitude
Hempire House,ORANGEVILLE,ON,Ontario,59 FIRST ST,L9W 2E3,43.9252887,-80.098705
BUDSSMOKE,BARRIE,ON,Ontario,389 BAYFIELD ST,L4M 3C5,44.4065931,-79.7046412
Discounted Cannabis,LONDON,ON,Ontario,1255 KILALLY RD SUITE 106,N5Y 0B7,43.0306947,-81.2227036
Rolling Cannabis,SIMCOE,ON,Ontario,6 VICTORIA ST,N3Y 1L3,42.8338682,-80.3025102
Fogtown Flower,TORONTO,ON,Ontario,230 MERTON ST,M4S 1A1,43.6977392,-79.3892681
Paradise Cannabis,CARLETON PLACE,ON,Ontario,167 FRANKTOWN RD UNIT 1,K7C 2P2,45.1352423,-76.135148
HIGHTIES CANNABIS,VANIER,ON,Ontario,177-179 MONTREAL RD,K1L 6E4,45.4351627,-75.6644123
Discounted Cannabis,ST CATHARINES,ON,Ontario,100 FOURTH AVE UNIT 10,L2S 3P3,43.1550469,-79.2644297
Your Local Cannabis,NEWCASTLE,ON,Ontario,45 KING AVE W UNIT 2&3,L1B 1H3,43.9175522,-78.5879301
Smoke Lab Cannabis,YORK,ON,Ontario,2427 EGLINTON AVE W UNIT 2,M6M 1S8,43.6915578,-79.4670217
CANNACO THE CANNABIS COMPANY,GEORGETOWN,ON,Ontario,28 MAIN ST S,L7G 3G4,43.6502274,-79.9273893
Session7,WATERLOO,ON,Ontario,210-220 KING ST N UNIT G2,N2J 3B5,43.4753069,-80.5237437
Happy Life,NORTH BAY,ON,Ontario,42 LAKESHORE DR,P1A 2A3,46.2947503,-79.4541986
Cannabis Hut,YORK,ON,Ontario,"2175 WESTON RD UNIT 1, 2",M9N 0B5,43.7032697,-79.52563
Paradise AIR,NORTH YORK,ON,Ontario,650 SHEPPARD AVE E UNIT 7,M2K 3E4,43.768503,-79.3809963
CABIN CANNABIS,TORONTO,ON,Ontario,688 BLOOR ST W,M6G 1L2,43.6639867,-79.4170153
Royal Cannabis Supply Company,ETOBICOKE,ON,Ontario,105 CLAIREPORT CRES,M9W 6P7,43.7452544,-79.6322339
Discounted Cannabis,LONDON,ON,Ontario,590 OXFORD ST E UNIT B,N5Y 3J1,43.0002737,-81.2384057
Pure Plant Cannabis,EMSDALE,ON,Ontario,12 HWY 518 EAST UNIT C,P0A 1J0,45.5285252,-79.3204195
THE HUNNY POT CANNABIS CO.,MILTON,ON,Ontario,101 JAMES SNOW PKY N UNIT#6 & 7,L9T 0R3,43.5400584,-79.8579325
One Plant Brampton,BRAMPTON,ON,Ontario,160 GREAT LAKES DR UNIT 123A,L6R 2K7,43.7301753,-79.7640626
Budtimez,ORILLIA,ON,Ontario,190 MEMORIAL AVE UNIT C,L3V 5X6,44.5983552,-79.424185
VALUE BUDS,LONDON,ON,Ontario,979 WELLINGTON RD SUITE 106A,N6E 3A9,42.9407201,-81.2266684
Forty3Eighty Cannabis Co.,CAYUGA,ON,Ontario,"5 TALBOT STREET EAST, UNIT 1",N0A 1E0,42.9503231,-79.8547748
Royal Cannabis Haus,NEPEAN,ON,Ontario,22 NORTHSIDE RD,K2H 5Z3,45.3295512,-75.8137739
Cannabis Cupboard,ST CATHARINES,ON,Ontario,318 ONTARIO ST UNIT 9A,L2R 5L8,43.1696912,-79.2636907
CLOUD 29 RICHMOND,LONDON,ON,Ontario,660 RICHMOND ST UNIT 6,N6A 5C7,42.9932889,-81.2501624
Growers Retail,SCARBOROUGH,ON,Ontario,821 BRIMLEY RD,M1J 1C9,43.7532521,-79.2547229
Growers Retail,EAST YORK,ON,Ontario,1021 PAPE AVE,M4K 3V8,43.6883864,-79.3481633
VIP Cannabis Company,LONDON,ON,Ontario,1984 DUNDAS ST E UNIT A1,N5V 1P5,43.0062693,-81.171929
VIP Cannabis Co.,WOODSTOCK,ON,Ontario,930 DUNDAS ST UNIT 107,N4S 1H1,43.1328362,-80.7333515
Kindling Cannabis,TORONTO,ON,Ontario,1821 QUEEN ST E UNIT 5,M4L 3Z6,43.6682075,-79.3074276
Evergreen Leaf,HEARST,ON,Ontario,631 FRONT STREET UNIT#01,P0L 1N0,49.6886239,-83.6594017
MALIBU ROAD,AURORA,ON,Ontario,150 HOLLIDGE BLVD UNIT 5,L4G 8A3,44.0128511,-79.4472265
Davenport Leaf,TORONTO,ON,Ontario,139 DUPONT ST,M5R 1V4,43.6757359,-79.4021746
Toke House,IGNACE,ON,Ontario,105 MAIN ST HWY 17 UNIT 1,P0T 1T0,49.4172286,-91.663913
Silverleaf Cannabis,HAMILTON,ON,Ontario,736A QUEENSTON RD,L8G 1A4,43.2288801,-79.7697982
416CANNABIS,ETOBICOKE,ON,Ontario,419 ATTWELL DR,M9W 5C4,43.7047093,-79.6075645
True North Cannabis Co.,KAPUSKASING,ON,Ontario,18 CIRCLE ST,P5N 1T4,49.4176221,-82.4243841
JOLLY GREEN CANNABIS,STOUFFVILLE,ON,Ontario,6134 MAIN ST,L4A 4H8,43.9705458,-79.2512116
True North Cannabis Co.,HUNTSVILLE,ON,Ontario,30 MAIN ST E,P1H 2C8,45.3267813,-79.2182589
Kiosk Cannabis,SCARBOROUGH,ON,Ontario,4915 STEELES AVE E UNIT 11,M1V 4Z4,43.826836,-79.2904713
SATIVA BLISS CANNABIS BOUTIQUE,BELLEVILLE,ON,Ontario,200 FRONT ST UNIT 101,K8N 2Y7,44.1634915,-77.3841751
Red Star Cannabis Co.,AURORA,ON,Ontario,15191 YONGE ST,L4G 1L8,43.99833,-79.4670266
HIGHLIFE CANNABIS UP AFFX,HAMILTON,ON,Ontario,919 UPPER PARADISE RD UNIT 5,L9B 2M9,43.2178851,-79.9182523
THISEL,TORONTO,ON,Ontario,192 QUEEN'S QUAY EAST UNIT A5,M5A 0C8,43.6456438,-79.3645739
TRUE NORTH CANNABIS CO.,STRATHROY,ON,Ontario,51 FRONT ST W,N7G 1X6,42.9579038,-81.6257602
True North Cannabis Co.,KITCHENER,ON,Ontario,4396 KING ST E UNIT 1,N2P 2G1,43.4066068,-80.3936586
INSPIRED CANNABIS CO,ORLEANS,ON,Ontario,6489 JEANNE D'ARC BLVD N,K1C 2R1,45.4798845,-75.5371318
Cannabis Jacks,NORTH BAY,ON,Ontario,1881 CASSELLS ST,P1B 4C8,46.3177108,-79.4461127
Tokyo Smoke,LONDON,ON,Ontario,1240 COMMISSIONERS RD W UNIT 111,N6K 1C7,42.9579407,-81.3314324
Cannabuds,SCARBOROUGH,ON,Ontario,2776 KENNEDY RD,M1T 3J2,43.8003817,-79.2964387
Cosmic Charlie's,TORONTO,ON,Ontario,821 QUEEN ST W,M6J 1G1,43.6458183,-79.4092358
VIP Cannabis Company,CAMBRIDGE,ON,Ontario,304 ST ANDREWS ST SUITE 10,N1S 1P3,43.3440158,-80.3320598
Soma Leaf Company,THORNBURY,ON,Ontario,99 KING ST E UNIT C,N0H 2P0,44.5592503,-80.4468136
The Green Bouquet Cannabis,PORT SYDNEY,ON,Ontario,15 SOUTH MARY LAKE RD UNIT 2,P0B 1L0,45.1958903,-79.3122892
Plug Canna6is,TORONTO,ON,Ontario,539 ST CLAIR AVE W,M6C 1A3,43.6824305,-79.4203644
COST CANNABIS,DRYDEN,ON,Ontario,439 GOVERNMENT ST UNIT 5,P8N 2P4,49.7869236,-92.8278826
Plant Republic,STOUFFVILLE,ON,Ontario,15301 HIGHWAY 48 UNIT 7,L4A 3H1,44.0387607,-79.2971604
